Epoch,IOU_Train,IOU_Val
265,0.7189,0.4274
266,0.7195,0.4812
267,0.7193,0.3991
268,0.7200,0.4748
269,0.7202,0.4391
270,0.7204,0.3836
271,0.7206,0.5066
272,0.7211,0.3117
273,0.7215,0.5234
274,0.7219,0.4683
275,0.7220,0.4444
276,0.7216,0.4071
277,0.7218,0.2751
278,0.7223,0.3775
279,0.7224,0.4510
280,0.7227,0.5157
281,0.7222,0.4295
282,0.7231,0.4820
283,0.7239,0.4421
284,0.7240,0.4437
285,0.7241,0.4228
286,0.7246,0.4775
287,0.7250,0.4507
288,0.7246,0.4644
289,0.7252,0.3828
290,0.7258,0.4206
291,0.7255,0.4667
292,0.7261,0.4140
293,0.7265,0.3336
294,0.7264,0.5253
295,0.7267,0.3968
296,0.7272,0.4694
297,0.7280,0.4381
298,0.7276,0.4534
299,0.7285,0.3108
300,0.7286,0.5126
301,0.7284,0.4422
302,0.7295,0.4592
303,0.7297,0.4311
304,0.7293,0.4618
305,0.7297,0.4712
306,0.7300,0.4842
307,0.7306,0.4063
308,0.7306,0.4562
309,0.7312,0.3595
310,0.7303,0.4674
311,0.7318,0.4516
312,0.7319,0.3503
313,0.7316,0.4615
314,0.7326,0.4064
315,0.7321,0.4655
316,0.7326,0.3700
317,0.7329,0.4361
318,0.7332,0.4850
319,0.7336,0.4369
320,0.7339,0.4396
321,0.7339,0.5006
322,0.7340,0.4659
323,0.7348,0.4762
324,0.7349,0.3710
325,0.7351,0.4734
326,0.7352,0.3974
327,0.7357,0.4337
328,0.7356,0.3526
329,0.7368,0.4425
330,0.7363,0.4493
331,0.7369,0.4183
332,0.7366,0.4784
333,0.7374,0.4439
334,0.7379,0.4927
335,0.7376,0.4152
336,0.7379,0.3815
337,0.7381,0.4252
338,0.7384,0.4562
339,0.7383,0.4558
340,0.7388,0.4503
341,0.7394,0.4497
342,0.7390,0.5031
343,0.7399,0.4787
344,0.7394,0.4345
345,0.7402,0.3162
346,0.7406,0.5117
347,0.7407,0.4992
348,0.7407,0.3203
349,0.7411,0.3015
350,0.7416,0.4628
351,0.7410,0.3531
352,0.7416,0.3764
353,0.7419,0.4443
354,0.7419,0.4417
355,0.7421,0.3977
356,0.7416,0.4857
357,0.7430,0.4344
358,0.7433,0.4228
359,0.7428,0.4800
360,0.7434,0.4205
361,0.7441,0.4601
362,0.7435,0.4105
363,0.7440,0.4839
364,0.7441,0.4243
365,0.7447,0.4903
366,0.7451,0.4015
367,0.7448,0.4844
368,0.7447,0.4526
369,0.7449,0.5149
370,0.7451,0.3729
371,0.7451,0.3862
372,0.7457,0.4362
373,0.7457,0.4843
374,0.7458,0.4789
375,0.7460,0.3720
376,0.7461,0.3244
377,0.7466,0.4276
378,0.7467,0.4052
379,0.7466,0.3938
380,0.7471,0.3203
381,0.7467,0.4192
382,0.7480,0.4160
383,0.7468,0.4081
384,0.7476,0.4676
385,0.7481,0.4445
386,0.7478,0.4352
387,0.7481,0.4809
388,0.7487,0.4403
389,0.7487,0.4665
390,0.7485,0.3302
391,0.7494,0.3746
392,0.7488,0.4941
393,0.7491,0.4622
394,0.7497,0.3349
395,0.7491,0.3900
396,0.7499,0.3629
397,0.7502,0.4118
398,0.7493,0.4781
399,0.7505,0.4131
400,0.7505,0.4321
401,0.7505,0.3877
402,0.7512,0.3722
403,0.7511,0.2886
404,0.7508,0.3101
405,0.7514,0.4280
406,0.7513,0.4217
407,0.7519,0.4375
408,0.7516,0.2998
409,0.7516,0.4120
410,0.7521,0.4439
411,0.7525,0.3833
412,0.7529,0.4267
413,0.7523,0.3561
414,0.7526,0.3408
415,0.7530,0.4020
416,0.7526,0.4021
417,0.7527,0.4008
418,0.7529,0.4494
419,0.7535,0.4279
420,0.7541,0.4066
421,0.7534,0.4790
422,0.7538,0.4749
423,0.7536,0.4340
424,0.7543,0.4277
425,0.7543,0.4721
426,0.7542,0.4652
427,0.7549,0.4000
428,0.7551,0.4666
429,0.7548,0.3819
430,0.7550,0.3896
431,0.7551,0.4526
432,0.7547,0.4640
433,0.7553,0.4362
434,0.7558,0.4460
435,0.7555,0.4505
436,0.7554,0.4665
437,0.7560,0.4141
438,0.7557,0.3293
439,0.7561,0.3806
440,0.7562,0.4144
441,0.7567,0.4456
442,0.7565,0.4652
443,0.7565,0.4515
444,0.7565,0.3803
445,0.7567,0.4114
446,0.7570,0.3664
447,0.7573,0.3704
448,0.7566,0.4176
449,0.7577,0.4473
450,0.7574,0.3636
451,0.7573,0.4055
452,0.7579,0.4383
453,0.7572,0.4790
454,0.7577,0.2986
455,0.7576,0.3900
456,0.7578,0.4289
457,0.7584,0.4064
458,0.7584,0.3105
459,0.7580,0.3129
460,0.7587,0.4995
461,0.7586,0.4052
462,0.7583,0.3704
463,0.7590,0.4461
464,0.7583,0.3795
465,0.7596,0.4077
466,0.7591,0.5097
467,0.7592,0.4476
468,0.7593,0.4703
469,0.7598,0.3074
470,0.7597,0.4466
471,0.7592,0.2425
472,0.7597,0.4123
473,0.7595,0.4020
474,0.7601,0.2266
475,0.7597,0.3795
476,0.7603,0.3956
477,0.7602,0.3660
478,0.7607,0.4175
479,0.7609,0.4502
480,0.7600,0.3903
481,0.7610,0.4332
482,0.7608,0.4137
483,0.7609,0.4703
484,0.7610,0.4351
485,0.7605,0.3777
486,0.7616,0.4200
487,0.7616,0.3750
488,0.7617,0.3205
489,0.7610,0.2703
490,0.7618,0.3308
491,0.7617,0.3805
492,0.7615,0.3212
493,0.7620,0.3895
494,0.7618,0.4621
495,0.7626,0.4284
496,0.7624,0.4457
497,0.7626,0.3916
498,0.7627,0.4661
499,0.7621,0.4113
500,0.7628,0.4706
501,0.7626,0.3917
502,0.7626,0.4671
503,0.7627,0.4365
504,0.7630,0.4648
505,0.7630,0.4000
506,0.7633,0.3985
507,0.7631,0.3556
508,0.7630,0.2156
509,0.7633,0.3388
510,0.7630,0.4318
511,0.7640,0.3919
512,0.7636,0.3200
513,0.7633,0.5010
514,0.7640,0.3811
515,0.7638,0.3550
516,0.7638,0.4589
517,0.7641,0.4635
518,0.7641,0.4029
519,0.7645,0.3933
520,0.7641,0.3313
521,0.7643,0.4120
